WILAYAH_KERJA,OPERATOR,AFE_NO,BUDGET_SCHEDULE,AFE_STATUS,CONTRACT_AREA,CONTRACT_AREA_NO,ACTIVITY_CODE,BASIN,SURVEY_TYPE,OBJECTIVE,LOCATION,MEETING_DATE,PLATFORM_TRIPOD,SAMPLE,SINGLE_DUAL_TRIPLE,PROJECT_NAME,PROJECT_TYPE,WELL_NAME,WELL_TYPE,PROGRAM_NAME,PROGRAM_NO,ESP,KM,MAN_HOURS,MUD_TYPE,HORSE_POWER,IMPURITIES_CONTENT,DIAMETER,SHOOT_POINT,TROUGHPUT,CAPACITY,OG_RESERVOIR,EVALUATION_NOTE,EXTERNAL_JUSTIFICATION,POD_REF_NO,EST_PRODUCTION_GAIN,FIELD,STRUCTURE,ELEVATION,ELEVATION_KB,SURFACE_COORDINATE_LATITUDE,SURFACE_COORDINATE_LONGITUDE,TARGET_EVALUASI,CASHING_MATERIAL,PLAN__TOTAL_DEPTH,PLAN_WELL_COST_PER_DAY,PLAN_WELL_COST_PER_FOOT,PLAN_DRILLING_DAYS,PLAN_MOVING_DAYS,PLAN_MOB_DEMOB,WPAB,WPAB_REF_NO,CREATED_DATE,EST_START_DATE
SERAM,PERTAMINA HULU,24-0082-E,18E - Exploration & Exploitation,Closed Out,SUMATERA BLOCK PSC,CA-182,G&G,INDONESIA BASIN,GRAVITY,Structure Mapping,Site-82,4/23/2024 0:00,Yes,Rock Core,Dual,Project-82,Exploration,Well-82,Appraisal,Standard Program,PROG-82,Yes,91.67,2637,Water Based Mud,661,Low,8.5,SP-82,Moderate,High,Layer-82,Satisfactory analysis result.,Strategic asset development,POD-82,2964,Field-82,Structure-82,75.9,3.9,-1.63,119.8285,Target-82,Composite,1653,148555,50,40,4,3,WPAB-82,REF-82,1/1/2024 0:00,5/22/2024 0:00
MAHAKAM,BP INDONESIA,24-0083-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-183,G&G,INDONESIA BASIN,GRAVITY,Hydrocarbon Detection,Site-83,4/24/2024 0:00,No,Rock Core,Single,Project-83,Development,Well-83,Appraisal,Standard Program,PROG-83,No,150.69,2874,Water Based Mud,1379,High,10.5,SP-83,Low,High,Layer-83,Satisfactory analysis result.,Strategic asset development,POD-83,2353,Field-83,Structure-83,56.3,2.8,-2.3861,110.5788,Target-83,Composite,2457,103252,36,29,2,1,WPAB-83,REF-83,1/1/2024 0:00,5/23/2024 0:00
MAHAKAM,REPSOL,24-0084-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-184,G&G,INDONESIA BASIN,GRAVITY,Structure Mapping,Site-84,4/25/2024 0:00,Yes,Rock Core,Triple,Project-84,Exploration,Well-84,Development,Standard Program,PROG-84,No,107.91,2548,Oil Based Mud,1366,Medium,6.6,SP-84,Moderate,Low,Layer-84,Satisfactory analysis result.,Strategic asset development,POD-84,1725,Field-84,Structure-84,38.7,1.4,-2.7913,121.0051,Target-84,Composite,1636,105517,33,10,4,2,WPAB-84,REF-84,1/1/2024 0:00,5/24/2024 0:00
SUMATERA,PERTAMINA HULU,24-0085-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-185,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-85,4/26/2024 0:00,No,Rock Core,Dual,Project-85,Development,Well-85,Appraisal,Standard Program,PROG-85,Yes,74.47,1234,Oil Based Mud,1235,High,10.1,SP-85,High,High,Layer-85,Satisfactory analysis result.,Strategic asset development,POD-85,2893,Field-85,Structure-85,24.1,2.4,-2.223,126.0996,Target-85,Steel,3156,185133,30,33,2,1,WPAB-85,REF-85,1/1/2024 0:00,5/25/2024 0:00
BARITO,BP INDONESIA,24-0086-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-186,G&G,INDONESIA BASIN,G&G STUDY,Structure Mapping,Site-86,4/27/2024 0:00,Yes,Rock Core,Triple,Project-86,Development,Well-86,Exploration,Standard Program,PROG-86,No,174.98,2895,Water Based Mud,1467,Low,10.4,SP-86,Low,High,Layer-86,Satisfactory analysis result.,Strategic asset development,POD-86,1326,Field-86,Structure-86,83.3,3,-1.9337,126.4373,Target-86,Composite,1477,135303,31,21,4,1,WPAB-86,REF-86,1/1/2024 0:00,5/26/2024 0:00
SUMATERA,REPSOL,24-0087-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-187,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-87,4/28/2024 0:00,Yes,Rock Core,Triple,Project-87,Exploration,Well-87,Development,Standard Program,PROG-87,No,103.63,2987,Water Based Mud,713,Low,10.9,SP-87,Low,Medium,Layer-87,Satisfactory analysis result.,Strategic asset development,POD-87,1526,Field-87,Structure-87,43.7,3.8,-1.6287,102.1035,Target-87,Steel,1867,125235,32,10,2,1,WPAB-87,REF-87,1/1/2024 0:00,5/27/2024 0:00
SERAM,REPSOL,24-0088-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-188,G&G,INDONESIA BASIN,G&G STUDY,Reservoir Imaging,Site-88,4/29/2024 0:00,Yes,Rock Core,Dual,Project-88,Development,Well-88,Development,Standard Program,PROG-88,Yes,65.14,2229,Oil Based Mud,1113,Medium,6.9,SP-88,High,Medium,Layer-88,Satisfactory analysis result.,Strategic asset development,POD-88,2327,Field-88,Structure-88,81.5,4,-0.1763,100.4314,Target-88,Steel,1305,198915,47,22,5,1,WPAB-88,REF-88,1/1/2024 0:00,5/28/2024 0:00
SERAM,PERTAMINA HULU,24-0089-E,18E - Exploration & Exploitation,Approved,SUMATERA BLOCK PSC,CA-189,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-89,4/30/2024 0:00,Yes,Rock Core,Triple,Project-89,Development,Well-89,Exploration,Standard Program,PROG-89,No,97.81,1324,Oil Based Mud,1182,Low,7.3,SP-89,High,Medium,Layer-89,Satisfactory analysis result.,Strategic asset development,POD-89,1673,Field-89,Structure-89,70.7,2.3,-2.7773,138.597,Target-89,Steel,1057,117722,47,35,3,3,WPAB-89,REF-89,1/1/2024 0:00,5/29/2024 0:00
SUMATERA,REPSOL,24-0090-E,18E - Exploration & Exploitation,Draft,MAHAKAM BLOCK PSC,CA-190,G&G,INDONESIA BASIN,SEISMIC 2D,Structure Mapping,Site-90,5/1/2024 0:00,Yes,Rock Core,Triple,Project-90,Exploration,Well-90,Exploration,Standard Program,PROG-90,Yes,169.6,2527,Oil Based Mud,641,Medium,9.8,SP-90,High,Low,Layer-90,Satisfactory analysis result.,Strategic asset development,POD-90,1111,Field-90,Structure-90,80.8,4.3,-0.6868,136.1057,Target-90,Composite,1856,159735,50,14,4,1,WPAB-90,REF-90,1/1/2024 0:00,5/30/2024 0:00
SERAM,PERTAMINA HULU,24-0091-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-191,G&G,INDONESIA BASIN,G&G STUDY,Hydrocarbon Detection,Site-91,5/2/2024 0:00,Yes,Rock Core,Dual,Project-91,Exploration,Well-91,Exploration,Standard Program,PROG-91,Yes,163.83,2383,Oil Based Mud,785,High,6,SP-91,Moderate,Low,Layer-91,Satisfactory analysis result.,Strategic asset development,POD-91,2756,Field-91,Structure-91,67.6,4.5,-1.0197,130.6269,Target-91,Steel,1019,154981,42,27,2,3,WPAB-91,REF-91,1/1/2024 0:00,5/31/2024 0:00
SUMATERA,BP INDONESIA,24-0092-E,18E - Exploration & Exploitation,Draft,BARITO BLOCK PSC,CA-192,G&G,INDONESIA BASIN,SEISMIC 3D,Hydrocarbon Detection,Site-92,5/3/2024 0:00,Yes,Rock Core,Single,Project-92,Exploration,Well-92,Exploration,Standard Program,PROG-92,Yes,138.23,1476,Water Based Mud,704,High,7.7,SP-92,Low,Medium,Layer-92,Satisfactory analysis result.,Strategic asset development,POD-92,2657,Field-92,Structure-92,21.9,4.6,-1.3243,116.7029,Target-92,Composite,3268,131916,50,28,5,2,WPAB-92,REF-92,1/1/2024 0:00,6/1/2024 0:00
SERAM,PERTAMINA HULU,24-0093-E,18E - Exploration & Exploitation,Draft,BINTUNI BLOCK PSC,CA-193,G&G,INDONESIA BASIN,G&G STUDY,Reservoir Imaging,Site-93,5/4/2024 0:00,Yes,Rock Core,Triple,Project-93,Exploration,Well-93,Exploration,Standard Program,PROG-93,No,194.62,1141,Oil Based Mud,909,High,6,SP-93,High,Low,Layer-93,Satisfactory analysis result.,Strategic asset development,POD-93,1344,Field-93,Structure-93,44.1,2.9,-0.6653,123.0885,Target-93,Steel,1799,139766,36,17,3,3,WPAB-93,REF-93,1/1/2024 0:00,6/2/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0094-E,18E - Exploration & Exploitation,Closed Out,SUMATERA BLOCK PSC,CA-194,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-94,5/5/2024 0:00,No,Rock Core,Dual,Project-94,Exploration,Well-94,Appraisal,Standard Program,PROG-94,No,129.62,2298,Oil Based Mud,1349,Medium,8.4,SP-94,High,Medium,Layer-94,Satisfactory analysis result.,Strategic asset development,POD-94,2843,Field-94,Structure-94,52.3,4.5,-1.9034,104.7916,Target-94,Composite,2752,110396,47,11,5,3,WPAB-94,REF-94,1/1/2024 0:00,6/3/2024 0:00
MAHAKAM,ALTAR RESOURCES,24-0095-E,18E - Exploration & Exploitation,Closed Out,SUMATERA BLOCK PSC,CA-195,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-95,5/6/2024 0:00,No,Rock Core,Dual,Project-95,Exploration,Well-95,Development,Standard Program,PROG-95,No,199.01,1328,Water Based Mud,1273,High,8.3,SP-95,Moderate,Low,Layer-95,Satisfactory analysis result.,Strategic asset development,POD-95,2468,Field-95,Structure-95,90.3,3.7,-2.7265,130.614,Target-95,Composite,2798,174866,35,35,5,1,WPAB-95,REF-95,1/1/2024 0:00,6/4/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0096-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-196,G&G,INDONESIA BASIN,SEISMIC 3D,Stratigraphic Correlation,Site-96,5/7/2024 0:00,No,Rock Core,Dual,Project-96,Development,Well-96,Exploration,Standard Program,PROG-96,No,187.14,1318,Oil Based Mud,805,Low,7.2,SP-96,Moderate,Low,Layer-96,Satisfactory analysis result.,Strategic asset development,POD-96,1357,Field-96,Structure-96,33.3,2.5,-0.9874,114.6038,Target-96,Steel,1243,100762,32,21,2,3,WPAB-96,REF-96,1/1/2024 0:00,6/5/2024 0:00
BARITO,BP INDONESIA,24-0097-E,18E - Exploration & Exploitation,Approved,MAHAKAM BLOCK PSC,CA-197,G&G,INDONESIA BASIN,GRAVITY,Reservoir Imaging,Site-97,5/8/2024 0:00,No,Rock Core,Dual,Project-97,Exploration,Well-97,Exploration,Standard Program,PROG-97,Yes,105.76,1774,Oil Based Mud,511,High,8.2,SP-97,Low,Low,Layer-97,Satisfactory analysis result.,Strategic asset development,POD-97,2602,Field-97,Structure-97,28.1,4.7,-2.065,128.4515,Target-97,Composite,2262,194349,33,20,3,3,WPAB-97,REF-97,1/1/2024 0:00,6/6/2024 0:00
SUMATERA,REPSOL,24-0098-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-198,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-98,5/9/2024 0:00,Yes,Rock Core,Triple,Project-98,Exploration,Well-98,Exploration,Standard Program,PROG-98,No,169.69,1063,Oil Based Mud,1045,Low,7.2,SP-98,High,Low,Layer-98,Satisfactory analysis result.,Strategic asset development,POD-98,2047,Field-98,Structure-98,59.2,3.9,-0.9081,134.9596,Target-98,Composite,3091,195871,36,18,5,1,WPAB-98,REF-98,1/1/2024 0:00,6/7/2024 0:00
MAHAKAM,REPSOL,24-0099-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-199,G&G,INDONESIA BASIN,MAGNETIC,Structure Mapping,Site-99,5/10/2024 0:00,No,Rock Core,Single,Project-99,Exploration,Well-99,Appraisal,Standard Program,PROG-99,No,118.78,2738,Oil Based Mud,815,Low,7.4,SP-99,Moderate,Low,Layer-99,Satisfactory analysis result.,Strategic asset development,POD-99,1804,Field-99,Structure-99,62.5,2,-1.2264,114.6758,Target-99,Steel,2860,178433,36,18,5,2,WPAB-99,REF-99,1/1/2024 0:00,6/8/2024 0:00
